Restaurant,Aspect,Evidence_Count,Negative,Neutral,Positive,Aspect_Score,Evidence_Confidence,Evidence_Confidence_Pct,Adjusted_Aspect_Score
B-Dubs,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
B-Dubs,Overall Dining Experience,16,0,0,16,100.0,0.4444444444444444,44.44,72.22
"3B's - Buddies, Bar & Barbecue",Food Quality,84,4,4,76,92.86,0.8076923076923077,80.77,84.62
"3B's - Buddies, Bar & Barbecue",Service,66,2,2,62,95.45,0.7674418604651163,76.74,84.88
"3B's - Buddies, Bar & Barbecue",Ambience,15,0,0,15,100.0,0.42857142857142855,42.86,71.43
"3B's - Buddies, Bar & Barbecue",Value for Money,7,0,0,7,100.0,0.25925925925925924,25.93,62.96
"3B's - Buddies, Bar & Barbecue",Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
"3B's - Buddies, Bar & Barbecue",Overall Dining Experience,15,0,0,15,100.0,0.42857142857142855,42.86,71.43
Pot Pourri,Food Quality,93,19,19,55,69.35,0.8230088495575221,82.3,65.93
Pot Pourri,Service,52,17,5,30,62.5,0.7222222222222222,72.22,59.03
Pot Pourri,Ambience,38,3,2,33,89.47,0.6551724137931034,65.52,75.86
Pot Pourri,Value for Money,17,3,3,11,73.53,0.4594594594594595,45.95,60.81
Pot Pourri,Hygiene,2,0,0,2,100.0,0.09090909090909091,9.09,54.55
Pot Pourri,Overall Dining Experience,14,1,0,13,92.86,0.4117647058823529,41.18,67.65
Pista House,Food Quality,88,19,12,57,71.59,0.8148148148148148,81.48,67.59
Pista House,Service,30,14,2,14,50.0,0.6,60.0,50.0
Pista House,Ambience,9,0,3,6,83.33,0.3103448275862069,31.03,60.34
Pista House,Value for Money,16,2,2,12,81.25,0.4444444444444444,44.44,63.89
Pista House,Hygiene,3,1,0,2,66.67,0.13043478260869565,13.04,52.17
Pista House,Overall Dining Experience,12,2,0,10,83.33,0.375,37.5,62.5
Marsala Food Company,Food Quality,133,29,17,87,71.8,0.869281045751634,86.93,68.95
Marsala Food Company,Service,40,6,3,31,81.25,0.6666666666666666,66.67,70.83
Marsala Food Company,Ambience,42,5,6,31,80.95,0.6774193548387096,67.74,70.97
Marsala Food Company,Value for Money,21,4,0,17,80.95,0.5121951219512195,51.22,65.85
Marsala Food Company,Hygiene,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
Marsala Food Company,Overall Dining Experience,26,0,1,25,98.08,0.5652173913043478,56.52,77.18
Mazzo - Marriott Executive Apartments,Food Quality,88,9,12,67,82.95,0.8148148148148148,81.48,76.85
Mazzo - Marriott Executive Apartments,Service,49,8,4,37,79.59,0.7101449275362319,71.01,71.01
Mazzo - Marriott Executive Apartments,Ambience,46,2,2,42,93.48,0.696969696969697,69.7,80.3
Mazzo - Marriott Executive Apartments,Value for Money,5,0,0,5,100.0,0.2,20.0,60.0
Mazzo - Marriott Executive Apartments,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Mazzo - Marriott Executive Apartments,Overall Dining Experience,16,1,0,15,93.75,0.4444444444444444,44.44,69.44
Green Bawarchi Restaurant,Food Quality,32,13,6,13,50.0,0.6153846153846154,61.54,50.0
Green Bawarchi Restaurant,Service,5,4,0,1,20.0,0.2,20.0,44.0
Green Bawarchi Restaurant,Ambience,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Green Bawarchi Restaurant,Value for Money,7,2,3,2,50.0,0.25925925925925924,25.93,50.0
Green Bawarchi Restaurant,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Green Bawarchi Restaurant,Overall Dining Experience,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Banana Leaf Multicuisine Restaurant,Food Quality,76,13,9,54,76.97,0.7916666666666666,79.17,71.35
Banana Leaf Multicuisine Restaurant,Service,20,2,0,18,90.0,0.5,50.0,70.0
Banana Leaf Multicuisine Restaurant,Ambience,17,0,4,13,88.24,0.4594594594594595,45.95,67.57
Banana Leaf Multicuisine Restaurant,Value for Money,26,5,2,19,76.92,0.5652173913043478,56.52,65.22
Banana Leaf Multicuisine Restaurant,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Banana Leaf Multicuisine Restaurant,Overall Dining Experience,9,1,0,8,88.89,0.3103448275862069,31.03,62.07
Kritunga Restaurant,Food Quality,38,18,6,14,44.74,0.6551724137931034,65.52,46.55
Kritunga Restaurant,Service,11,4,1,6,59.09,0.3548387096774194,35.48,53.23
Kritunga Restaurant,Ambience,5,1,1,3,70.0,0.2,20.0,54.0
Kritunga Restaurant,Value for Money,4,0,1,3,87.5,0.16666666666666666,16.67,56.25
Kritunga Restaurant,Hygiene,2,2,0,0,0.0,0.09090909090909091,9.09,45.45
Kritunga Restaurant,Overall Dining Experience,4,0,0,4,100.0,0.16666666666666666,16.67,58.33
The Glass Onion,Food Quality,91,6,17,68,84.07,0.8198198198198198,81.98,77.93
The Glass Onion,Service,52,6,8,38,80.77,0.7222222222222222,72.22,72.22
The Glass Onion,Ambience,59,2,5,52,92.37,0.7468354430379747,74.68,81.64
The Glass Onion,Value for Money,16,3,4,9,68.75,0.4444444444444444,44.44,58.33
The Glass Onion,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
The Glass Onion,Overall Dining Experience,25,3,0,22,88.0,0.5555555555555556,55.56,71.11
Deli 9 Bistro,Food Quality,83,6,12,65,85.54,0.8058252427184466,80.58,78.64
Deli 9 Bistro,Service,31,2,3,26,88.71,0.6078431372549019,60.78,73.53
Deli 9 Bistro,Ambience,33,0,3,30,95.45,0.6226415094339622,62.26,78.3
Deli 9 Bistro,Value for Money,9,0,4,5,77.78,0.3103448275862069,31.03,58.62
Deli 9 Bistro,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Deli 9 Bistro,Overall Dining Experience,28,2,3,23,87.5,0.5833333333333334,58.33,71.88
Frio Bistro,Food Quality,106,15,11,80,80.66,0.8412698412698413,84.13,75.79
Frio Bistro,Service,37,2,6,29,86.49,0.6491228070175439,64.91,73.69
Frio Bistro,Ambience,23,1,6,16,82.61,0.5348837209302325,53.49,67.44
Frio Bistro,Value for Money,10,3,1,6,65.0,0.3333333333333333,33.33,55.0
Frio Bistro,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Frio Bistro,Overall Dining Experience,20,1,1,18,92.5,0.5,50.0,71.25
The Foodie Monster Kitchen,Food Quality,48,9,7,32,73.96,0.7058823529411765,70.59,66.91
The Foodie Monster Kitchen,Service,8,1,1,6,81.25,0.2857142857142857,28.57,58.93
The Foodie Monster Kitchen,Ambience,8,1,0,7,87.5,0.2857142857142857,28.57,60.71
The Foodie Monster Kitchen,Value for Money,12,1,3,8,79.17,0.375,37.5,60.94
The Foodie Monster Kitchen,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
The Foodie Monster Kitchen,Overall Dining Experience,3,0,0,3,100.0,0.13043478260869565,13.04,56.52
Owm Nom Nom,Food Quality,36,17,4,15,47.22,0.6428571428571429,64.29,48.21
Owm Nom Nom,Service,15,8,1,6,43.33,0.42857142857142855,42.86,47.14
Owm Nom Nom,Ambience,1,0,1,0,50.0,0.047619047619047616,4.76,50.0
Owm Nom Nom,Value for Money,6,2,2,2,50.0,0.23076923076923078,23.08,50.0
Owm Nom Nom,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Owm Nom Nom,Overall Dining Experience,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Ulavacharu,Food Quality,92,20,19,53,67.93,0.8214285714285714,82.14,64.73
Ulavacharu,Service,39,14,9,16,52.56,0.6610169491525424,66.1,51.69
Ulavacharu,Ambience,31,4,7,20,75.81,0.6078431372549019,60.78,65.69
Ulavacharu,Value for Money,23,10,5,8,45.65,0.5348837209302325,53.49,47.67
Ulavacharu,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Ulavacharu,Overall Dining Experience,18,2,0,16,88.89,0.47368421052631576,47.37,68.42
Shanghai Chef 2,Food Quality,84,19,11,54,70.83,0.8076923076923077,80.77,66.82
Shanghai Chef 2,Service,32,6,2,24,78.12,0.6153846153846154,61.54,67.3
Shanghai Chef 2,Ambience,20,0,5,15,87.5,0.5,50.0,68.75
